titolo,descrizione,path_immagine,link_articolo,data
Nasce la Società sportiva del Napoli,"La Società calcistica partenopea gioca in Serie A dal 1929 vincendo scudetti, trofei e coppe nelle diverse stagioni. Noto giocatore a giocare nella squadra fu Diego Armando Maradona che nel 1986 ottenne il titolo di campione del mondo nel calcio, ma morì nel 25 novembre del 2020 a causa di una crisi cardiaca.",http://resource.calcionapoli24.it/www/thumbs/643x350/1557425789_475.jpg,https://it.wikipedia.org/wiki/Societ%C3%A0_Sportiva_Calcio_Napoli,1926/08/01
Avviene la strage di Bologna,"Alle 10:25 del 2 agosto 1980 una valigia piena di tritolo esplose nella sala d'aspetto di seconda classe della stazione del capoluogo emiliano, causando 85 vittime e 200 feriti. È la strage più sanguinosa nella storia italiana. Ci furono 4 processi, rispettivamente nel 1987, 1997, 2000 e 2017. Il processo va avanti con le seguenti inchieste: Gilberto Cavallini è stato ritenuto colpevole di concorso in strage ed è stato condannato all'ergastolo. I due terroristi Valerio Fioravanti e Francesca Mambro sono stati riconosciuti definitivamente colpevoli per l'esplosione della bomba, assieme a Luigi Ciavardini. Tutti loro sono stati condannati a risarcire al Presidenza del Consiglio e al Ministero dell'Interno una cifra che va oltre i due miliardi di euro.",https://upload.wikimedia.org/wikipedia/it/thumb/c/c6/Strage_di_Bologna%2C_1980.jpg/260px-Strage_di_Bologna%2C_1980.jpg,https://it.wikipedia.org/wiki/Strage_di_Bologna,1980/08/02
Regio Decreto n. 337 del 2 agosto 1902,"Da Roma Vittorio Emanuele III emana il Regio Decreto legge che elimina l'obbligo delle catene negli stabilimenti penali per i detenuti. Prima di questo Decreto l’uso della catena nei penitenziari era normato dal ""Regolamento di disciplina e di interno ordinamento dei Bagni penali"" del 1860 in cui i condannati venivano incatenati a due per volta, e venivano utilizzate catene di 18 maglie del peso di 6,000 Kg.",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Vittorio_Emanuele_III_%28c._1924-1934%29.jpg/197px-Vittorio_Emanuele_III_%28c._1924-1934%29.jpg,http://www.ristretti.it/commenti/2008/agosto/2agosto.htm,1902/08/02
Avviene l'invasione della Somalia britannica da parte dell'Italia fascista ,"La conquista italiana della Somalia Britannica, che avvenne tra il 3 agosto 1940 e il 19 agosto 1940, rappresenta l’unica operazione militare italiana conclusasi positivamente durante la Seconda guerra mondiale, senza alcun intervento da parte degli alleati tedeschi. Gli inglesi ebbero circa 272 perdite umane. Circa 465 furono le perdite nelle truppe italiane e numerosi furono i feriti (circa 1500). I somali ebbero circa un migliaio di perdite assieme alle 2000 vittime delle tribù locali loro alleate contro gli italiani.",https://italianiinguerra.files.wordpress.com/2019/08/3-agosto-offensiva-italiana-contro-il-somaliland-copia.jpg?w=1200,http://ipercorsidellastoria.altervista.org/litalia-invade-la-somalia-britannica/,1940/08/03
Giuseppe Melchiorre viene eletto Papa," Roma: il cardinale Giuseppe Melchiorre Sarto viene eletto Papa con il nome di Pio X. A seguito delle riforme anticlericali emerse in Francia causate dalla separazione tra Stato e Chiesa, Pio X protestò con l'enciclica Vehementer Nos che esortava i cattolici francesi a opporsi con mezzi legali per difendere la tradizione cattolica. Egli condanna particolarmente la confisca pressoché totale delle proprietà ecclesiastiche.",https://www.memoriesbooks.it/ImgUpload/FileUpload/PhotoCelebrity/BG1ff338ac-be7e-487f-831a-f5e1b204a746.jpg,https://it.wikipedia.org/wiki/4_agosto,1903/08/04
Avviene l'assassinio di Gaetano Costa da parte della mafia,"Gaetano Costa fu un magistrato italiano, nato a Caltanisetta e laureatosi in Giurisprudenza a Palermo. Costa fu assassinato alle 19:30, passeggiando da solo e a due passi da casa sua. fu freddato da sei colpi di pistola P38 sparatigli alle spalle da due killer scappati forse in moto o forse su una A112 trovata poi bruciata. Morì dissanguato su un marciapiede di via Cavour a Palermo. Causa di quella spietata esecuzione fu il fatto che egli avesse firmato personalmente dei mandati di cattura nei confronti del boss Rosario Spatola.","https://upload.wikimedia.org/wikipedia/it/9/97/Gaetano_Costa.jpg

",https://it.wikipedia.org/wiki/Gaetano_Costa,"1980/08/06
"
Antonino Cassarà e Roberto Antiocchia vengono uccisi dalla mafia,"Ninnì Cassarà ricoprì la carica di vice-questore aggiunto e vice-capo della Squadra Mobile di Palermo a capo della sezione investigativa. Fu ucciso all'età di 38 anni davanti il condominio in cui abitava. Insieme a Cassarà rimase ucciso anche il valoroso poliziotto Roberto Antiochia che aveva appena 23 anni e che nel giugno 1983 lavorava presso la squadra mobile di Palermo con Beppe Montana in delicate indagini sull’associazione mafiosa Cosa Nostra. Egli venne ucciso proprio nel vano tentativo di fare scudo con il suo corpo a Cassarà, sceso dall’auto per raggiungere il portone di casa.",https://avantilive.it/wp-content/uploads/2021/08/cassara-antiochia-2.jpg,https://avantilive.it/6-agosto-1985-i-killer-della-mafia-uccidono-ninni-cassara-e-roberto-antiochia/,1985/08/06
Nella Prima Guerra Mondiale il Servizio Aeronautico del regno d'Italia compie un massiccio bombardamento,"Nella notte fra l'8 e il 9 agosto una squadra di 28 bombardieri del Servizio Aeronautico italiano compì un massiccio bombardamento su Pola, una città affacciata sul mare che sorge sulla punta dell'Istria croata. L'obiettivo era l'incursione per conquista di un porto strategico che si trovava in città. In quest’occasione, il poeta Gabriele d’Annunzio utilizzò per la prima volta l’espressione “Eja Eja, Alalà” quale esultanza per il compimento dell’impresa.",https://www.alinari.it/img-thumb/640/IIB/IIB-S-091732-0129.jpg,https://it.wikipedia.org/wiki/Servizio_Aeronautico,1917/08/08
Avviene l'eccidio di 15 antifascisti a Milano,"Erano le ore 5:45 del 10 agosto 1944 quando un autocarro tedesco si ferma in piazzale Loreto (Milano), facendo uscire 15 uomini (alcuni giovani e alcuni un pò più anziani) catturati dopo un attentato antifascista ad un camion tedesco. Furono messi in fila e dopo il segnale del capitano fu dato il via libera ai soldati fascisti appartenenti alla GNR o alla legione “Ettore Muti” di aprire il fuoco. Tutti e 15 gli uomini furono uccisi e i loro corpi lasciati lì.",https://www.patriaindipendente.it/wp-content/uploads/2018/07/martiri-10-agosto-MI.jpg,https://www.patriaindipendente.it/persone-e-luoghi/profili-partigiani/10-agosto-1944-i-15-martiri-di-piazzale-loreto/,1944/08/10
"Viene pubblicato ""Redemptoris Custos""","Il Papa Giovanni Paolo II scrive l'esortazione apostolica Redemptoris Custos, incentrata sulla figura e la missione di San Giuseppe nella vita di Cristo e della Chiesa.",https://upload.wikimedia.org/wikipedia/it/thumb/5/5b/Gpii.jpg/256px-Gpii.jpg,https://it.wikipedia.org/wiki/15_agosto,1989/08/15
