titolo,descrizione,path_immagine,link_articolo,data
 Entrata in vigore della Costituzione della Repubblica Italiana.,"La Costituzione (anche chiamata Carta costituzionale) è quindi la legge fondamentale che fissa l’organizzazione dello Stato, le regole e i principi posti a fondamento dell’intero ordinamento giuridico, che nessuno può violare: né il re, né il parlamento. Essa è formata da 139 articoli e da 18 disposizioni transitorie e finali.",https://pbs.twimg.com/media/ENLfSdtXsAI8td6.jpg,https://it.wikipedia.org/wiki/Costituzione_della_Repubblica_Italiana,1948/01/01
Fondazione dell''Associazione Internazionale di Polizia (IPA).,"L'IPA nasce il primo Gennaio del 1950 ed è la più grande organizzazione mondiale di Polizia nel mondo. Conta 375.000 aderenti (a livello mondiale), di cui 15.000 solo in Italia.",https://giornalesm.com/wp-content/uploads/2015/01/IPA-Emblem-1.jpg,https://it.wikipedia.org/wiki/International_Police_Association,1950/01/01
"L'euro diventa la moneta ufficiale di 12 paesi dell'Unione europea, tra cui l'Italia.","L'euro è la moneta sovra-nazionale, usata esclusivamente nell'Unione Europea, introdotta il primo Gennaio del 2002. Dei 27 Paesi che ne fanno parte, solamente 19 hanno come moneta l'euro",https://upload.wikimedia.org/wikipedia/commons/4/46/Euro-Geld_auf_Scheinen_und_Banknoten_-_1_Euro_Fokus_mit_Stapel.jpg,https://it.wikipedia.org/wiki/Euro,2002/01/01
 Finisce il servizio militare obbligatorio.,Il servizio militare obbligatorio era una legge che obbligava tutti gli uomini maggiorenni ad arruolarsi nell'esercito italiano. Con la legge n.226 del 23 Agosto 2004 viene sancita la fine della leva obbligatoria.,https://www.agenziacomunica.net/wp-content/uploads/2016/07/levaobbl2.jpg,https://it.wikipedia.org/wiki/Servizio_militare_di_leva_in_Italia,2005/01/01
"Benito Mussolini sancisce la svolta dittatoriale del regime fascista, con il suo discorso.","Benito Mussolini pronuncia il discorso col quale sancisce la svolta dittatoriale del regime fascista, sfidando la Camera dei Deputati a incriminarlo e rivendicando ""la responsabilità politica, morale e storica"" di quanto era avvenuto di recente nel Paese ma rigettando d'essere il mandante del delitto Matteotti.",https://www.ilmessaggero.it/photos/MED_HIGH/95/88/3459588_1113_a00007538.jpg,https://it.wikipedia.org/wiki/Discorso_di_Benito_Mussolini_del_3_gennaio_1925,1925/01/03
 L'Unione Europea adotta la bandiera europea.,"La bandiera europea fu introdotta il 3 Gennaio del 1986 ed è il simbolo dell'unità di tutta l'Europa. La bandiera è caratterizzata da uno sfondo blu che ricorda il cielo, con 12 stelle che non corrispondono al numero dei Paesi aderenti, ma  simboleggiano la perfezione, gli ideali di unità, solidarietà e armonia tra i popoli d’Europa. ",https://www.newnotizie.it/wp-content/uploads/2021/05/Bandiera-UE.jpg,https://it.wikipedia.org/wiki/Bandiera_dell%27Europa,1986/01/03
Viene ucciso Pippo Fava.,"Giuseppe Fava era il direttore del mensile catanese  ""I Siciliani"". Fu assassinato da sicari di Cosa Nostra perché negli articoli del suo giornale venivano pubblicate  rilevazioni clamorose circa i rapporti tra  imprenditori, politici e mafiosi di Catania.",https://www.senzalinea.it/giornale/wp-content/uploads/2020/01/inbound3512508941208951405.jpg,https://www.ossigeno.info/37-anni-fa-ucciso-pippo-fava-condannati-killer-e-mandanti-buio-sul-versante-politico/,1984/01/05
La Nazionale di calcio dell'Italia indossa per la prima volta una divisa azzurra nell'amichevole contro l'Ungheria.,"In tale giorno, la Nazionale di calcio italiana indossò per la prima volta la maglia azzurra, in occasione della partita contro l'Ungheria. Prima di allora la maglia della Nazionale era bianca con riferimenti al tricolore.",https://newsmondo.it/wp-content/uploads/2021/01/WK_Nazionale_1911-640x350.jpg.webp,https://www.ilvaloreitaliano.it/accadde-oggi-nel-1911-la-nazionale-italiana-indossa-per-la-prima-volta-lazzurro/,1911/01/06
Benito Mussolini e il ministro degli esteri francese Pierre Laval firmano l'Accordo franco-italiano.,Con l'Accordo franco-italiano  la Striscia di Aozou e di Rahayta fu ceduta dalla Francia all'Italia.,http://www.repubblica.it/images/2011/11/30/231644941-0cde8b93-4f2e-4ad5-a17f-c144112c7546.jpg,"https://it.wikipedia.org/wiki/Accordo_franco-italiano#:~:text=L'accordo%20franco%2Ditaliano%20(,Venezia%20a%20Roma%2C%20il%207",1935/01/07
Viene ucciso Beppe Alfano.,"Beppe Alfano era un professore e soprattutto era un giornalista che scriveva per il quotidiano ""La Sicilia"" di Catania. Fu ucciso perché scriveva pubblicamente articoli sui loschi affari tra mafia, criminalità​ e politica.",https://newsicilia.it/wp-content/uploads/2021/01/Beppe-Alfano-giornalista.png,https://www.gazzettinonline.it/2021/01/08/beppe-alfano-ucciso-dalla-mafia-perche%E2%80%8B-colpevole-anche-lui-di-non-essere-un-giornalista-vigliacco_162570.html,1993/01/08
"Il piccolo Giuseppe Di Matteo, figlio del pentito Santino di Matteo, viene ucciso da esponenti mafiosi.","Giuseppe di Matteo, il giovane ragazzo di 12 anni figlio del pentito di mafia Santino di Matteo, viene ucciso da mafiosi che agivano su ordine di Giovanni Brusca. Il ragazzo venne tenuto in ostaggio per due anni; succesivamente strangolato e butatto nell'acido.",https://www.business.it/wp-content/uploads/2021/09/di-matteo-giuseppe-pb-da-repubblica-palermo_it.jpg,"https://it.wikipedia.org/wiki/Omicidio_di_Giuseppe_Di_Matteo#:~:text=L'omicidio%20di%20Giuseppe%20Di,mafioso%2C%20collaborasse%20con%20gli%20investigatori.",1996/01/11
La mafia uccide l'ex sindaco di Palermo Giuseppe Insalaco,Giuseppe Insalaco fu un politico italiano vittima di mafia. Fu ucciso perché aveva denunciato pubblicamente diverse collissioni avvenute tra la politica e i poteri mafiosi. ,https://www.repstatic.it/content/localirep/img/rep-palermo/2021/01/12/175933362-0a45cd76-993d-49bf-b843-feb189a4e8d6.jpg,https://palermo.repubblica.it/cronaca/2021/01/12/news/insalaco_il_sindaco_dei_cento_giorni_assassinato_dalla_mafia_ricordato_a_palermo-282247734/,1988/01/12
La nave da crociera Costa Concordia va in collisione contro degli scogli  a 500 metri dal porto dell'Isola del Giglio.,"La nave della Concordia, guidta dal capitano Francesco Schettino, urta contro un piccolo scoglio davantial l'isola del Giglio (Grosseto). L'incidente causò il naufragio della nave e costò la vita a 32 dei 4.200 passeggeri. ",https://upload.forumfree.net/i/ff2205934/jki.jpg,https://it.wikipedia.org/wiki/Naufragio_della_Costa_Concordia,2012/01/13
Seconda guerra mondiale: comincia la ritirata del 4º Corpo d'armata alpino in Unione Sovietica.,"In tal data, il fronte nazi-fascista viene rotto ed i comandi italiani ordinano di ripiegare. Inizia la lunga ritirata. Attanagliati dal gelo i soldati italiani ripiegano fino a Nikolajevka.",https://upload.wikimedia.org/wikipedia/commons/2/29/Disfatta.jpg,"https://it.wikipedia.org/wiki/Campagna_italiana_di_Russia#:~:text=Il%2015%20gennaio%201943%20una,costretti%20a%20patire%20enormi%20sofferenze.",1943/01/14
"La notte tra il 14 ed il 15 gennaio, nella Sicilia occidentale, una scossa sismica di magnitudo 6.4 fa tremare la valle del Belice.","La scossa sismica della valle del Belice fu uno dei terremoti più devastanti della Sicilia. Le scosse più violente che colpirono ilt erritorio e le cittadine furono ben 5, tra cui l'ultima  portò maggiori e più devastanti  danni. Si registrarono dai 231-370 morti (10 soccorritori), 1.000 feriti e 90.000 sfollati. ",https://www.ingv.it/images/news/notastampa/Belice_1.png,"https://it.wikipedia.org/wiki/Terremoto_del_Belice_del_1968#:~:text=Il%20terremoto%20del%20Bel%C3%ACce%20del,di%20Trapani%2C%20Agrigento%20e%20Palermo.",1968/01/14
Viene catturato e arrestato Salvatore Riina.,Salvatore Riina (chiamato anche Totò ) è stato definito il mafioso italiano più pericoloso di Cosa Nostra di quegli annii,https://www.avvenire.it/c/2018/PublishingImages/2b78764c4d094b8fb475ab2904fcd54c/RiinaANSA.jpg?width=1024,https://www.politicanews.it/ricordate/ricordate-15-gennaio-1993-viene-catturato-e-arrestato-il-latitante-toto-riina-31155,1993/01/15
"In Italia il Presidente della Repubblica Oscar Luigi Scalfaro scioglie le Camere, finisce così la Prima Repubblica.","In questa data il Presidente della Repubblica, Omar Luigi Scalfaro, scioglieva la Camere dando fine alla Prima Repubblica (1948-1994).",https://massimedalpassato.it/wp-content/uploads/2020/05/unnamed-4.jpg,https://www.occhionotizie.it/fine-prima-repubblica/,1994/01/16
Benito Mussolini firma le “leggi fascistissime” rendendo così fuori legge tutti i partiti del Partito Nazionale Fascista.,"In tal data Benito Mussolini firmò le  leggi sindacali, dette ""leggi fascistissime"" che resero  fuori legge tutti i partiti al di fuori del Partito Nazionale Fascista(PNF) che, fino 25 luglio 1943, fu l'unico partito ammesso in Italia.",https://lh3.googleusercontent.com/Ad45wnXTyFh987FMPrXyVqT8WCA8O1qMu4dk1YE-_sL6XrHiDgVtbsFujQvwCDAChBGRxlNFbOF0KwqDyau6wAqZeKcYJ-L8F3lmMQ=w1366-h768-no,https://www.politicanews.it/ricordate/ricordate-16-gennaio-1925-mussolini-firma-le-leggi-fascistissime-31437,1925/01/17
Viene fondato il Partito Popolare Italiano.,Il Partito Popolare Italiano (PPI) fu fondato a Roma da Don Luigi Sturzo. Il PPI fu lo strumento politico istituzionale che permise alle masse cattoliche di entrare apertamente e direttamente nella vita politica del paese.,https://rivoluzioni.modena900.it/assets/Uploads/1919-partito-popolare-a-modena-04-787x400-acf-cropped.jpg,"https://it.wikipedia.org/wiki/Partito_Popolare_Italiano_(1919)#:~:text=Il%20Partito%20Popolare%20Italiano%20(PPI,Remo%20Vigorelli%20e%20Giulio%20Rodin%C3%B2.",1919/01/18
"In Italia il fascismo scioglie il Parlamento, sostituendolo con la Camera dei fasci e delle corporazioni.","A Roma il fascismo sciolse il Parlamento, sostituendolo con la Camera dei Fasci e delle Corporazioni.
L'organo cndivideva il potere legislativo con il Governo e il Senato del Regno.",https://www.ilmessaggero.it/photos/MED/10/77/2201077_fasci.jpg,https://www.ilsole24ore.com/art/19-gennaio-1939-ottant-anni-fa-fascismo-spazzava-via-parlamento-tentazione-dell-astoriologia-e-suoi-rischi-AESP21HH,1939/01/19
"Nasce l’Istituto per la Ricostruzione industriale, con decreto regio, a capo del quale Benito Mussolini chiama Alberto Beneduce.","In tale data nacque l'Istituto per la Ricostruzione Industriale, con a capo Alberto Beneduce. L'Ente ebbe lo scopo di tutelare le banche e le aziende a loro connesse. È stato a suo tempo una delle più grandi aziende pubbliche",https://www.ilmessaggero.it/photos/MED/97/58/3499758_1117_beneduce.jpg,https://it.wikipedia.org/wiki/IRI,1933/01/23
