titolo,descrizione,path_immagine,link_articolo,data
Entrata in vigore della legge Bottai,"La legge 1° luglio 1940, n. 899 o anche chiamata ""riforma Bottai"" è una legge che rende obbligatoria la scuola materna ed elementare.È promulgata durante il ventennio fascista dal ministro dell'educazione nazionale Giuseppe Bottai e approvata dal Gran Consiglio del Fascismo.",https://www.lidentitadiclio.com/wp-content/uploads/2021/03/La-riforma-Gentile-e-la-fascistizzazione-della-scuola.jpg,"https://it.wikipedia.org/wiki/Legge_Bottai#:~:text=La%20legge%201º%20luglio%201940,dal%20Gran%20Consiglio%20del%20Fascismo.",1940/07/01
Nominato il primo presidente,"Enrico De Nicola, ha ricoperto il ruolo di Capo provvisorio dello stato il 28 giugno 1946, diventato senatore a vita quale ex Presidente della Repubblica. E nell'anno 1951 venne rieletto come Presidente del Senato della Repubblica.",https://www.archivioluce.com/wp-content/uploads/2019/10/denicola_evidenza_2020.jpg,https://it.wikipedia.org/wiki/Presidenti_della_Repubblica_Italiana,1941/07/01
Istituzione della congregrazione del Sant'Uffuzio,"La Congregazione di Sant'Uffizio, conosciuto prima come ""Santa Inquisizione"". È uno strumento nelle mani del Papa ed ha il compito di ""Promuovere e tutelare la dottrina"".",https://tuttoggi.info/wp-content/uploads/2015/04/santuffizio-1280x720.jpg,https://it.m.wikipedia.org/wiki/Congregazione_per_la_dottrina_della_fede,1949/07/01
 In Italia viene fondato il Partito Comunista da Marco Rizzo col nome Comunisti – Sinistra Popolare,Il Partito Comunista (PC) è un partito politico italiano ispirato al pensiero marxista-leninista fondato il 3 luglio 2009. Di cui è stato tra i partiti fondatori e rappresentante per l'italia.,http://4.bp.blogspot.com/-wSH8fjCTxX8/UtxsMhg2WUI/AAAAAAAABlY/M8zlxvM92yQ/s1600/Comunisti+sinistra+popolare+(2009).jpg,"https://it.wikipedia.org/wiki/Partito_Comunista_(Italia)#:~:text=La%20nascita%20dei%20Comunisti%20%E2%80%93%20Sinistra%20Popolare,-Azione%20di%20protesta&text=Il%203%20luglio%202009%2C%20Marco,%E2%80%93%20Sinistra%20Popolare%20(CSP).",2009/07/03
Stragi naziste nel comune di Cavriglia (Arezzo).,"La strage venne demoninata ""La strage dimenticata"" di Cavriglia, dove una testimonianza riferisce che un ufficiale fascista, ordinò il massacro ascoltando Mozart.",https://i0.wp.com/arezzomassacri.weebly.com/uploads/6/6/7/2/6672243/8716831.jpg,https://firenze.repubblica.it/tempo-libero/articoli/cultura/2021/03/18/news/1944_la_strage_dimenticata_di_cavriglia_filippo_boni_longanesi-292704778/,1944/07/04
"Papa Giovanni Paolo II pubblica la lettera enciclica Ecclesia de Eucharistia, sull'eucaristia nel suo rapporto con la Chiesa",La lettera Enciclica scritta da Giovanni Paolo II dove intende proporre una riflessione approfondita sul miostero eucaristico nel suo rapporto con la Chiesa.,https://img2.libreriauniversitaria.it/BIT/340/123/9788801061239.jpg,https://www.maranatha.it/Testi/GiovPaoloII/Testi34Page.htm,2003/07/04
L'uccisione di Salvatore Giuliano,"Salvatore Giuliano era un brigante italiano a capo di una banda armata, che venne ucciso il 5 luglio 1950 durante un conflitto a fuoco da un carabiniere .",https://biografieonline.it/img/bio/s/Salvatore_Giuliano.jpg,https://it.wikipedia.org/wiki/Salvatore_Giuliano,1950/07/05
La prima assegnazione del premio strega,"Il Premio Strega è un premio letterario che viene assegnato annualmente all'autore di un libro pubblicato in Italia, il primo premio venne assegnato ad  Ennio Flaiano grazie alla sua opera ""Tempo di uccidere""",https://premiostrega.it/PS/wp-content/uploads/1947/01/20gallery_60.jpg,https://it.wikipedia.org/wiki/Premio_Strega,1947/07/05
"Papa Benedetto XVI emana il motu proprio ""Summorum Pontificum"" che liberalizza la messa tridentina","è una lettera apostolica di papa Benedetto XVI, pubblicata in forma di motu proprio il 7 luglio 2007.
Il motu proprio, scritto prima della canonizzazione dei papi Giovanni XXIII, Paolo VI e Giovanni Paolo II, contiene le indicazioni giuridiche e liturgiche che, insieme alle precisazioni emanate dalla Pontificia commissione ""Ecclesia Dei"", sono rimaste in vigore fino al 16 luglio 2021",https://m.media-amazon.com/images/I/41JCgiZ-yvL.jpg,https://www.ilmessaggero.it/rubriche/accadde_oggi/papa_benedetto_motu_proprio_vaticano-2544562.html,2007/07/07
Fondazione dell'Associazione Nazionale Alpini,"L'Associazione Nazionale Alpini (A.N.A.) è un'Associazione d'Arma, apartitica, fondata nel 1919, con sede in Via Marsala a Milano.",http://www.felicitapubblica.it/wp-content/uploads/2016/07/alpini-1919.png,https://it.wikipedia.org/wiki/Associazione_Nazionale_Alpini,1919/07/08
L'Italia vince contro la Francia in finale,"La finale del campionato mondiale di calcio 2006, venne svolta all'Olympiastadion di Berlino. Essa determinò la vittoria dell'Italia sulla Francia al campionato del mondo 2006 con il risultato di 5-3 ai tiri di rigore, dopo l'1-1 dei tempi regolamentari e supplementari. ",https://www.calcionews24.com/wp-content/uploads/2017/11/italia_mondiali-2006.jpg,"https://it.wikipedia.org/wiki/Finale_del_campionato_mondiale_di_calcio_2006#:~:text=La%20finale%20del%20campionato%20mondiale,dei%20tempi%20regolamentari%20e%20supplementari.",2006/07/09
Gli americani invadono la Sicilia,La 7° Armata statunitense insieme all'8° Armata britannica sbarcarono in Sicilia durante la 2° guerra mondiale contro L'Italia fascista ,https://upload.wikimedia.org/wikipedia/commons/7/7f/The_British_Army_in_Sicily_1943_NA4306.jpg,https://it.wikipedia.org/wiki/Sbarco_in_Sicilia,1942/07/10
La Nazionale di calcio dell'Italia vince il suo terzo titolo mondiale.,"L'Italia di Bearzot, si aggiudica la vittoria contro la Germania e portano a casa il terzo titolo mondiale, diventando campioni del mondo.",https://www.figc.it/media/4073/mondiali_1982.png,https://www.unionesarda.it/foto/cronaca-italia/accaddeoggi-11-luglio-1982-l-italia-vince-il-suo-terzo-mondiale-g3bn6m1o,1982/07/11
