titolo,descrizione,path_immagine,link_articolo,data
L'Italia si dichiara non belligerante e si mantiene neutrale ,"L'Italia si astenne inizialmente dal conflitto perchè il Duce ricevette da Hitler un messaggio nel quale l’Italia era esentata dall’intervenire in guerra. Una decisione capace di deprimere, di prostrare e di rendere ancor più irritabile di prima il fondatore dell’Impero. ",https://italianiinguerra.files.wordpress.com/2018/09/corriere-della-sera-2-settembre-1939.jpg,https://www.ilmessaggero.it/rubriche/accadde_oggi/1_settembre_1939_ii_guerra_mondiale-3211425.html,1939/09/01
Battaglia di Firenze ,"La Battaglia di Firenze è l'espressione con cui si indica l'insurrezione, organizzata dai partigiani nell'agosto del 1944, che portò alla liberazione della città di Firenze dalle truppe nazifasciste.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Alleati_01.jpg/260px-Alleati_01.jpg,https://it.wikipedia.org/wiki/Battaglia_di_Firenze,1944/09/01
Armistizio di Cassibile.," Il generale Giuseppe Castellano, plenipotenziario del governo guidato dal Maresciallo d'Italia Pietro Badoglio, firmò a Cassibile (SR) l'armistizio corto che decretò la resa incondizionata dell'Italia agli alleati che occuparono il sud del paese. L'armistizio fu feso noto  l'8 settembre con il famoso proclama alla radio «Il governo italiano, riconosciuta la impossibilità di continuare la impari lotta contro la soverchiante potenza avversaria, nell'intento di risparmiare ulteriori e più gravi sciagure alla Nazione, ha chiesto un armistizio al generale Eisenhower, comandante in capo delle forze alleate anglo-americane. La richiesta è stata accolta. Conseguentemente, ogni atto di ostilità contro le forze anglo-americane deve cessare da parte delle forze italiane in ogni luogo. Esse però reagiranno ad eventuali attacchi da qualsiasi altra provenienza.»",https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/LST-1-1.jpg/260px-LST-1-1.jpg,"https://it.wikipedia.org/wiki/Campagna_d%27Italia_(1943-1945)#:~:text=Il%203%20settembre%201943%20l,italiani%20e%20sabotando%20le%20infrastrutture.",1943/09/03
Muore a Palermo a seguito di un agguato mafioso il generale Carlo Alberto dalla Chiesa,"La sera del 3 settembre 1982  a Palermo, in via Isidoro Carini,il prefetto di Palermo e generale dei Carabinieri Carlo Alberto dalla Chiesa e la moglie Emanuela Setti Carraro furono barbaramente uccisi in un agguato mafioso, mentre con la propria macchina, un'A112, stavano rientrando nella loro abitazione, seguiti dall'agente di scorta. I loro corpi furono crivellati da 30 colpi sparati con un fucile d'assalto. L'agente di scorta Domenico Russo morì 12 giorni dopo a seguito delle gravi ferite .L""A112 è  conservata nel museo storico militare Beccari di Voghera. (link museo  http://www.museostoricogbeccari.it/home/)",https://upload.wikimedia.org/wikipedia/it/thumb/8/82/DallaChiesa.jpg/260px-DallaChiesa.jpg,https://it.wikipedia.org/wiki/Strage_di_via_Carini,1982/09/03
Entrata in vigore della Convenzione dell'Aja sulle armi chimiche.,"A Roma il Governo italiano adottò i principi della Conferenza dell'Aja sulle armi chimiche, la quale i proibisce «l'uso di proiettili che diffondano gas asfissianti o dannosi».",https://cdn.peacelink.org/images/16459.jpg?format=jpg&w=300,https://www.ilmessaggero.it/rubriche/accadde_oggi/accadde_oggi_4_settembre_1900_armi_chimiche-3216887.html,1900/09/04
Fondazione della società Google,"Google è un'azienda statunitense che offre servizi online, con quartier generale a Mountain View in California. Tra la grande quantità di prodotti o servizi offerti spiccano il motore di ricerca Google, il sistema operativo Android, il sistema operativo Chrome OS e servizi web quali YouTube, Gmail, Play Store, Google Maps e molti altri.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Google_2015_logo.svg/200px-Google_2015_logo.svg.png,https://it.wikipedia.org/wiki/Google_(azienda),1998/09/04
"Mussolini stanzia 500 milioni di lire per la ricostruzione di Messina e Reggio Calabria, semidistrutte dal Terremoto","A Roma il governo Mussolini stanzia 500 milioni di lire per la ricostruzione di Messina e Reggio Calabria, semidistrutte dal terremoto del dicembre 1908. Il sisma, che si verificò alle ore 5:21:42 (ora locale) del 28 dicembre 1908 danneggiò gravemente le città di Messina e Reggio nell'arco di 37 secondi. Le vittime sono tra 75.000 e 82.000, metà della popolazione della città siciliana e un terzo di quella della città calabrese perse la vita.Con lo strascico di un maremoto, l'evento devastò particolarmente Messina, causando il crollo del 90% degli edifici.",https://www.ilmessaggero.it/photos/PANORAMA/86/37/3218637_1222_terremoto_1908.jpg,"https://www.ilmessaggero.it/rubriche/accadde_oggi/accadde_oggi_5_settembre_1923-3218637.html#:~:text=A%20Roma%20il%20governo%20Mussolini,nell'arco%20di%2037%20secondi.",1923/09/05
Firma del re Vittorio Emanuele III sui provvedimenti per la difesa della razza nella scuola fascista.,Il primo Regio Decreto Legge (RDL) 5 settembre 1938 n. 1390 “Provvedimenti per la difesa della razza nella scuola fascista” fu approvato dal Consiglio dei Ministri e sancì l’esclusione di persone di razza ebraica dall’ufficio di insegnante nelle scuole statali di qualsiasi ordine e grado; vietò l’iscrizione alle scuole di qualsiasi ordine e grado agli alunni di “razza ebraica”. ,https://www.radiondadurto.org/wp-content/uploads/2018/09/STAMPA-LEGGI-RAZZIALI-300x180.jpg,"https://archivi.unimi.it/percorso-tematico/settembre-1938-le-leggi-razziali-irrompono-nella-scuola/#:~:text=1390%20%E2%80%9CProvvedimenti%20per%20la%20difesa,assistentato%20universitario%20e%20dal%20conseguimento",1938/09/05
"Abolizione del cosiddetto ""matrimonio riparatore"" che annullava gli effetti penali di uno stupro, qualora la vittima sposasse il suo assalitore","A Roma viene promulgata la legge che abolisce il matrimonio riparatore, era una soluzione adottata per salvaguardare l’onore delle persone coinvolte e delle loro famiglie. Con la sua istituzione, se un uomo commetteva uno stupro nei confronti di una ragazza celibe ed illibata, poteva evitare la pena detentiva e lavare l’onta che aveva causato alla famiglia della giovane, offrendosi di sposarla e di affrontare tutte le spese matrimoniali.",https://miro.medium.com/max/700/1*9M7BZXw49Eq-L9uRZMMQzQ.jpeg,https://www.ilmessaggero.it/rubriche/accadde_oggi/accadde_oggi_5_settembre_1981-3951792.html,1981/09/05
Viene promulgato il Regio decreto n. 1381 - Provvedimenti nei confronti degli ebrei stranieri,A seguito di questo Regio Decreto gli ebri stranieri non poterono più dimorare stabilmente in Italia e nei territori del Regno.,https://www.virgoletteblog.it/wp-content/uploads/2021/09/deliberazioni-antiebraiche.jpg,https://www.virgoletteblog.it/2021/09/07/7-settembre-1938-il-decreto-contro-gli-ebrei-stranieri-in-italia/,1938/09/07
