titolo,descrizione,path_immagine,link_articolo,data
Viene acceso il primo semaforo in Italia a Milano,"Era il primo aprile 1925, un mercoledì per la precisione, quando a Milano, all'incrocio tra Piazza Duomo, via Orefici e via Torino, comparve il primo semaforo d'Italia, tre anni dopo la prima accensione europea a Parigi. Che fosse una burla o meno, in migliaia accorsero per ammirare il nuovo marchingegno che però non fu da subito troppo efficace, causando diversi problemi nella circolazione dei mezzi. Bisogna specificare che il semaforo di allora era sicuramente diverso da quelli che siamo abituati ad usare oggi. Innanzitutto, era regolato dai vigili urbani e, trovandosi all’incrocio tra cinque strade, era composto da cinque colonne luminose, ognuna con il compito di gestire il traffico proveniente da una determinata direzione.",https://www.milanocittastato.it/wp-content/uploads/2021/04/copertina-avvenireit.png,"https://www.milanocittastato.it/evergreen/forse-non-sapevi-che/il-primo-semaforo-italiano-comparve-a-milano-il-1-aprile-1925-con-quattro-colori-urbanfile-trasformiamolo-in-monumento/#:~:text=Era%20il%20primo%20aprile%201925,prima%20accensione%20europea%20a%20Parigi.",1925/04/01
Seconda guerra mondiale: Gibilterra viene bombardata dall'Italia.,"Nel corso della Seconda guerra mondiale, Gibilterra fu oggetto di bombardamenti aerei da parte della Francia di Vichy e della Regia Aeronautica italiana.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Sikorski_in_Gibraltar.jpg/220px-Sikorski_in_Gibraltar.jpg,https://www.google.it/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwi74vvvopP0AhVMgv0HHRkqBRAQFnoECAYQAw&url=https%3A%2F%2Fit.wikipedia.org%2Fwiki%2FGibilterra_nella_seconda_guerra_mondiale%23%3A~%3Atext%3DI%2520bombardamenti%2520italiani%2C-La%2520prima%2520azione%26text%3D108%2520fu%2520proprio%2520contro%2520Gibilterra%2Cpartenza%2520dall%27aviosuperficie%2520di%2520Decimomannu.%26text%3DL%27attivit%25C3%25A0%2520operativa%2520inizi%25C3%25B2%2520solo%2Cnel%2520Mediterraneo%252C%2520il%25209%2520giugno.&usg=AOvVaw0hYpS35vpq0jDd2CEXdaPB&cshid=1636735712989222,1922/04/01
Muore Papa Giovanni Paolo II,"Muore Papa Giovanni Paolo II. Quando venne data la notizia ufficiale, le migliaia di persone raccolte spontaneamente davanti alla Basilica di San Pietro diedero vita a una veglia di preghiera che non continuò senza sosta fino al giorno del funerale.",https://www.papaboys.org/wp-content/uploads/2019/04/giovanni.paolo_.ii_.morto_.jpg,https://www.google.it/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiw99DTtvTzAhVKyaQKHV6SBeUQFnoECAYQAQ&url=https%3A%2F%2Fwww.ilmessaggero.it%2Frubriche%2Faccadde_oggi%2F2_aprile_2005_muore_papa_giovanni_paolo_ii-948985.html&usg=AOvVaw3FtN4-k7EHYEBrYdu83Qbu,2005/04/02
Italia: esce il primo numero del giornale Il Popolo,"Esce il primo numero del giornale Il Popolo, allineato sulle idee di Don Luigi Sturzo. A causa delle posizioni antifasciste, ne venne interrotta la pubblicazione il 19 novembre 1925.",https://www.dialessandria.it/wp-content/uploads/2013/04/11.jpg,https://www.google.it/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwi5183Pt_TzAhWFDOwKHYW1BRkQFnoECAIQAQ&url=https%3A%2F%2Fwww.fancityacireale.it%2Fwordpress2%2Fstoria-ditalia%2F&usg=AOvVaw36vbUv6JRATAkgoFCxymiv,1923/04/05
Giornata mondiale della salute mentale,Si commemora la Giornata internazionale della salute che segna l'anniversario della fondazione dell'OMS (Organizzazione Mondiale della Sanità).,https://insiemeperlasalutementale.it/wp-content/uploads/2021/07/visual_2-2.png,https://www.google.it/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwiWgt7vt_TzAhWP66QKHb2LCLcQFnoECCYQAQ&url=https%3A%2F%2Fwww.mutualpass.it%2Fpost%2F1160%2F1%2Fgiornata-mondiale-della-salute-7-aprile-2021-&usg=AOvVaw1RFJlf8cB-zjDSKoQFGsCx,1948/04/07
Funerale di Papa Giovanni Paolo II,"Fu celebrato il funerale di papa Giovanni Paolo II, cui parteciparono più di 200 delegazioni ufficiali.",https://upload.wikimedia.org/wikipedia/commons/c/c3/JohnPaulII-funeral.jpg,https://www.google.it/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&cad=rja&uact=8&ved=2ahUKEwio3saJufTzAhWBLOwKHeOFCCoQFnoECBAQAQ&url=https%3A%2F%2Fwww.vaticannews.va%2Fit%2Fvaticano%2Fnews%2F2021-05%2Fgiovannipaoloii-beatificazione-chiesa-vaticano-papi-benedettoxvi.html&usg=AOvVaw1ArBMWVb3O3Y23xKm3eoOc,2005/04/08
Elezioni politiche con la legge Calderoli,La legge Calderoli era una legge elettorale proporzionale con premio di maggioranza e liste bloccate che ha disciplinato l'elezione della Camera dei deputati e del Senato della Repubblica in Italia dal  2006 al  2013. Si affermò la coalizione di centrosinistra guidata da Romano Prodi.,https://www.gelestatic.it/thimg/a9XIf7iY37kh2acM0n6wWpwyICU=/1280x605/https%3A//www.lastampa.it/image/contentid/policy%3A1.35632317%3A1561659097/5198421c74298adb94636de607c7969b-kC9D-U10201470187463mgB-426x240%40LaStampa.it.jpg%3Ff%3Dtaglio_full2%26h%3D605%26w%3D1280%26%24p%24f%24h%24w%3D9034da5,https://www.google.it/url?sa=i&url=https%3A%2F%2Fwww.lastampa.it%2Fpolitica%2F2013%2F12%2F04%2Fnews%2Fla-legge-porcata-di-calderoli-1.35942803&psig=AOvVaw2ie3ftaZx_YumxQU54bykb&ust=1635762864854000&source=images&cd=vfe&ved=0CAwQjhxqFwoTCPiP49q59PMCFQAAAAAdAAAAABAD,2006/04/10
Muore Primo Levi,"Primo Levi venne trovato morto l’11 aprile 1987 nell'atrio del palazzo di corso Re Umberto 75 a Torino, dove viveva. Il corpo fu rinvenuto alla base della tromba delle scale dello stabile, a seguito di una caduta. Benché l'ipotesi di gran lunga più accreditata sia quella del suicidio, alcuni sostennero che la caduta potesse essere stata provocata dalle forti vertigini di cui Levi soffriva; anche Levi Montalcini negò decisamente che si trattasse di suicidio. Il corpo di Levi è sepolto presso il campo israelitico del Cimitero monumentale di Torino.",https://upload.wikimedia.org/wikipedia/it/thumb/c/c2/Primo_Levi_bianco_e_nero.JPG/330px-Primo_Levi_bianco_e_nero.JPG,https://it.wikipedia.org/wiki/Primo_Levi#La_morte,1987/04/11
Riforma della Rai,"La riforma della RAI del 1975 consistette nella nuova disciplina della Radiotelevisione Italiana contenuta nella legge 14 aprile 1975, n. 103. Il provvedimento introdusse nuove norme in materia di diffusione radiotelevisiva in Italia",https://www.ansa.it/webimages/img_700/2015/3/27/25e8c15f558328ab65f137edea9af4d0.jpg,https://www.google.it/imgres?imgurl=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F5%2F5a%2FCalderoli1.jpg%2F220px-Calderoli1.jpg&imgrefurl=https%3A%2F%2Fit.wikipedia.org%2Fwiki%2FLegge_Calderoli&tbnid=GNhl8qBqWoiGyM&vet=12ahUKEwj-7J7VufTzAhVIuqQKHVydBdMQMygCegQIARBx..i&docid=9un24vXzMUPFuM&w=220&h=293&q=Elezioni%20politiche%20con%20la%20legge%20Calderoli&hl=it&ved=2ahUKEwj-7J7VufTzAhVIuqQKHVydBdMQMygCegQIARBx,1975/04/11
Il Cagliari di Gigi Riva vince lo scudetto,"Furono anni e momenti straordinari quelli. Mentre il Cagliari di Gigi Riva vinceva lo scudetto, la Hit Parade della primavera 1970 dava al primo posto Simon and Garfunkel con “Bridge Over Troubled Water”, davanti ai Beatles con “Let it be”, ultimo album dei ragazzi di Liverpool: appena il 10 aprile McCartney aveva abbandonato il gruppo, decretandone la fine. A Cagliari, tra l’Amsicora, il Sant’Elia e la Sardegna Arena dal 2015 corre il Viale dei Campioni d’Italia 1969/70. Più passa il tempo e più si ha il senso epico di quell’impresa, rassegnandoci contemporaneamente all’idea che un’altra storia così probabilmente non la vedremo più.",https://www.scomunicando.it/notizie/wp-content/uploads/2020/04/campioni-ditalia-cagliari-300x169.jpg,https://www.scomunicando.it/notizie/il-cagliari-il-13-aprile-del-1970-campione-ditalia/,1970/04/12
