titolo,descrizione,path_immagine,link_articolo,data
Viene fondata dal fascismo la Milizia Volontaria per la Sicurezza Nazionale.,"La Milizia volontaria per la sicurezza nazionale (talora genericamente identificata, anche nella storiografia non italiana,con la locuzione camicie nere per il colore delle camicie adottate quale parte della divisa) è stato un corpo di gendarmeria a ordinamento militare e, dal 1924, una autonoma forza armata del Regno d'Italia (1861-1946).",https://www.secoloditalia.it/files/2015/01/milizia.jpg,https://it.wikipedia.org/wiki/Milizia_Volontaria_per_la_Sicurezza_Nazionale,1923/02/01
Inizio trasmissioni a colori della RAI,"L'Italia, dopo una prima sperimentazione in occasione dei Giochi della XX Olimpiade, è uno degli ultimi paesi, tra il 1976 e il 1977, ad avviare ufficialmente le trasmissioni a colori.  In realtà la RAI era già  tecnologicamente pronta a trasmettere a colori già a partire dalla nascita del secondo canale.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Test-Mire1.jpg/465px-Test-Mire1.jpg,https://it.wikipedia.org/wiki/Televisione_a_colori,1977/02/01
Viene istuita la Repubblica del Corniolo,"La Repubblica del Corniolo fu, a quanto si sa, il primo esempio di governo autonomo in lotta contro l'occupazione tedesca. Su iniziativa del comandante partigiano Riccardo Fedel, si autoproclamò indipendente e tale rimase sino ai primi di marzo (inserire l'anno)",https://www.vistosulweb.com/wp-content/uploads/2020/01/Repubblica-Corniolo.jpg,https://it.wikipedia.org/wiki/Repubblica_partigiana_del_Corniolo,1944/02/02
Morte di Enrico De Pedis boss della Banda della Magliana,"Nel 1990  a Roma,  in via del Pellegrino n° 56,  De Pedis fu colpito alla spalle da due sicari. Il delitto è stato interpretrato come regolamento di conti fra bande rivali, ma rimangono alcuni sospetti circa il movente e i mandanti dell'agguato mortale. ",https://roma.corriere.it/methode_image/2020/02/02/Roma/Foto%20Roma/12int02f2_0-0018.jpg,https://roma.corriere.it/notizie/cronaca/20_febbraio_02/renatino-de-pedis-fu-ucciso-30-anni-fa-crimini-amori-amicizie-in-tonaca-cbdd1580-45a3-11ea-89f5-524fb04840d5.shtml,1990/02/02
Roma diventa capitale d'Italia,"Con la legge del 3 febbraio 1871, n. 33, fu deciso il trasferimento della sede del governo da Firenze - dal 1865 era la Capitale d'Italia, succeduta a Torino - alla Città Eterna. Il trasferimento ufficiale si realizzò il 1° luglio successivo.",http://www.accadevaoggi.it/immagini/gennaio/la-capitale-ditalia-viene-trasferita-da-firenze-a-roma.jpg,"https://www.rainews.it/dl/rainews/media/3-febbraio-1871-150-anni-fa-la-proclamazione-di-Roma-capitale-7056e55e-4348-4333-ac79-4807997d9ea6.html#:~:text=Con%20la%20legge%20del%203,il%201%C2%B0%20luglio%20successivo.",1871/02/03
"Viene sciolto il Partito Comunista Italiano, e nascono il Partito Democratico della Sinistra e il Partito della Rifondazione Comunista","Il 3 febbraio 1991 il PCI deliberò il proprio scioglimento, promuovendo contestualmente la costituzione del Partito Democratico della Sinistra (PDS) con 807 voti favorevoli, 75 contrari e 49 astenuti. Il cambiamento del nome intendeva sottolineare la differenziazione politica con il partito originario, accentuando l'aspetto democratico che poi inglobò il Partito della Rifondazione Comunista (PRC).",https://upload.wikimedia.org/wikipedia/it/2/25/Partito_Democratico_della_Sinistra.svg,https://it.wikipedia.org/wiki/Partito_Comunista_Italiano#Partito_Democratico_della_Sinistra_e_Rifondazione_Comunista,1991/02/03
Il 12º Presidente della Repubblica Italiana Sergio Mattarella si insedia con cerimonia solenne,"Alle 9:56 del 2015 le Camere riunite nell'aula di Montecitorio hanno accolto il nuovo capo dello Stato, Sergio Mattarella. Dopo quasi tre minuti di battimano, alle 10 in punto,Mattarella ha giurato fedeltà alla Repubblica e alla Costituzione.",https://upload.wikimedia.org/wikipedia/commons/2/2b/Presidente_Sergio_Mattarella.jpg,https://www.repubblica.it/speciali/politica/elezioni-presidente-repubblica-edizione2015/2015/02/03/news/quirinale_giuramento_mattarella_marted_3_febbraio-106410232/,2015/02/03
 Il comandante delle SS a Salò offre la resa ai tedeschi tramite incontri segreti tra agenti statunitensi sulla base di reciproche garanzie,"Operazione Sunrise era il nome in codice assegnato alle trattative segrete intraprese dal generale delle SS Karl Wolff, generale plenipotenziario militare del Terzo Reich in Italia, e dall'agente statunitense Allen Dulles, allo scopo di negoziare la resa separata delle forze tedesche schierate nel nord Italia e delle forze fasciste collaborazioniste della Repubblica Sociale Italiana e favorire un rapido passaggio dei poteri nelle mani delle forze  Alleate.","https://www.rsi.ch/rete-due/programmi/cultura/colpo-di-scena/1093px-Yalta_Conference_Churchill_Roosevelt_Stalin_BW.jpg-4290233.html/ALTERNATES/LANDSCAPE_1300/1093px-Yalta_Conference_(Churchill,_Roosevelt,_Stalin)_(B&W).jpg",https://it.wikipedia.org/wiki/Operazione_Sunrise,1945/02/04
Soppressione dell'indice dei libri proibiti.,"Viene soppresso l'Indice dei libri proibiti, un elenco di pubblicazioni proibite dalla Chiesa cattolica, creato nel 1558 per opera della Congregazione della sacra romana e universale Inquisizione (o Sant'Uffizio), sotto Paolo IV",https://upload.wikimedia.org/wikipedia/commons/7/7b/Index_Librorum_Prohibitorum_1.jpg,"https://it.wikipedia.org/wiki/Indice_dei_libri_proibiti#:~:text=L'Indice%20dei%20libri%20proibiti,il%204%20febbraio%20del%201966.",1966/02/04
Nasce Facebook.,"Facebook è il più diffuso Social Network del mondo. È un servizio web gratuito che ti permette di metterti in contatto con i tuoi amici vicini e lontani e aprire nuove relazioni. Il sito viene fondato nell'Università Harvard, negli Stati Uniti, da Mark Zuckerberg, Eduardo Saverin, Andrew McCollum, Dustin Moskovitz e Chris Hughes",https://www.psycheatwork.com/xxxdeveloperxxx/uploads/2019/07/mark-zuckerberg-facebook-patrimonio-800x420.jpg,https://it.wikipedia.org/wiki/Facebook,2004/02/04
