titolo,descrizione,path_immagine,link_articolo,data
Festa dei Lavoratori,"La Festa dei lavoratori viene celebrata il 1º maggio di ogni anno in molti paesi del mondo, per ricordare tutte le lotte per i diritti dei lavoratori, originariamente nate per la riduzione della giornata lavorativa. La festa dei lavoratori affonda le sue radici in un periodo di significative e frequenti manifestazioni per i diritti degli operai delle fabbriche durante la Rivoluzione industriale negli Stati Uniti d'America, guidate dall'Associazione dell'Ordine dei Cavalieri del Lavoro americani, i Knights of Labor.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/1.Mai_2013_%288697603319%29.jpg/390px-1.Mai_2013_%288697603319%29.jpg,https://it.wikipedia.org/wiki/Festa_dei_lavoratori,1890/05/01
Strage di Portella della Ginestra,"Fu un eccidio commesso nella località di Portella della Ginestra, nel comune di Piana degli Albanesi in provincia di Palermo, da parte della banda criminale di Salvatore Giuliano che sparò contro la folla di contadini riuniti per celebrare la festa dei lavoratori, provocando undici morti e numerosi feriti.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Portella_della_Ginestra_06.jpg/390px-Portella_della_Ginestra_06.jpg,https://it.wikipedia.org/wiki/Strage_di_Portella_della_Ginestra,1947/05/01
Inaugurazione l'Esposizione universale di Milano,"L'Expo 2015 è stata l'esposizione universale svoltasi a Milano dal 1º maggio al 31 ottobre 2015. La tematica selezionata fu “Nutrire il pianeta, energia per la vita” e ha inteso includere tutto ciò che riguarda l'alimentazione, dall'educazione alimentare alla grave mancanza di cibo che affligge molte zone del mondo, alle tematiche legate agli OGM.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Expo_2015_Logo.svg/390px-Expo_2015_Logo.svg.png,https://it.wikipedia.org/wiki/Expo_2015,2015/05/01
"Giornate rosse di Viareggio, durante il biennio rosso.","Le Giornate rosse di Viareggio o Tre giornate di Viareggio o Repubblica Viareggina sono state un'insurrezione della popolazione di Viareggio avvenuta nel 1920, nel contesto del Biennio rosso. Il 5 maggio il Regio Esercito entra a Viareggio concludendo le Giornate rosse.",https://www.viareggiocomera.it/img/Contenuti/M/Storia-Le+giornate+rosse+di+Viareggio-Viareggio-1.1.jpg,https://it.wikipedia.org/wiki/Giornate_rosse_di_Viareggio,1920/05/02
Nascita dell'Euro,"Alle 00.08 Jacques Chirac e Helmut Kohl firmano l'accordo sulla nomina del presidente della Banca centrale europea: è la nascita dell'euro. Provvisoriamente vale 1936,27 lire italiane. Sempre il 3 maggio del 2002 diventa la valuta ufficiale dei paesi dell'Unione Monetaria Europea.",https://upload.wikimedia.org/wikipedia/it/thumb/0/06/1_%E2%82%AC_2007.jpg/189px-1_%E2%82%AC_2007.jpg,https://it.wikipedia.org/wiki/Euro,1998/05/03
Guerra Italo-Turca: l'Italia occupa l'isola di Rodi,"In seguito allo sbarco in Libia e alle inaspettate difficoltà  incontrate dal Corpo di Spedizione italiano nel conquistare i punti chiave della Tripolitania e della Cirenaica il Comando Supremo Italiano fu spinto ad occupare, tramite l'apporto della Marina Militare, la  città  di Rodi per intimare la resa al vali (governatore turco).",http://www.rhodian.com/STORIA/IMAGES/italiani3.jpg,http://www.rhodian.com/italiani.htm,1912/05/04
L'Italia denuncia la Triplice Alleanza,"l ministro degli esteri italiano Sidney Sonnino attraverso un telegramma mandato a Vienna, denuncerà la Triplice Alleanza, ritirando la propria neutralità e rivendicando la libertà d'azione del Regno d'Italia. Venti giorni dopo, l'Italia attaccherà l'Austria.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Triple_Alliance_Einigkeit_macht_stark.jpg/283px-Triple_Alliance_Einigkeit_macht_stark.jpg,https://www.parmadaily.it/4-maggio-1915-litalia-ripudia-la-triplice-alleanza/,1915/05/04
L'Italia entra nella NATO,"L'Organizzazione del Trattato dell'Atlantico del Nord è un'organizzazione internazionale per la collaborazione nel settore della difesa. Il Trattato NATO viene firmato a Washington da 12 Stati membri fondatori e cioè Belgio, Canada, Danimarca, Francia, Islanda, ITALIA, Lussemburgo, Norvegia, Paesi Bassi, Portogallo, Regno Unito e Stati Uniti d'America.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Flag_of_NATO.svg/390px-Flag_of_NATO.svg.png,https://it.wikipedia.org/wiki/Organizzazione_del_Trattato_dell%27Atlantico_del_Nord,1949/05/04
Tragedia di Superga,"La tragedia di Superga fu un incidente aereo avvenuto il 4 maggio 1949 a Torino. Alle ore 17:03, il Fiat G.212 della compagnia aerea ALI, siglato I-ELCE, con a bordo l'intera squadra del Grande Torino, si schiantò contro il muraglione del terrapieno posteriore della basilica di Superga, che sorge sulla collina torinese; le vittime furono 31. Nessun sopravvissuto.",https://upload.wikimedia.org/wikipedia/it/thumb/4/47/Fiat_G.212_I-ELCE_tragedia_Superga.jpg/390px-Fiat_G.212_I-ELCE_tragedia_Superga.jpg,https://it.wikipedia.org/wiki/Tragedia_di_Superga,1949/05/04
Inizio della Fase 2 per il contenimento del COVID-19,"Dopo 8 settimane di quarantena il Presidente del Consiglio, Giuseppe Conte, ha annunciato in conferenza stampa le misure per il contenimento dell'emergenza Covid-19 nella cosiddetta ""fase due”, che avranno valenza dal 4 maggio e per le successive due settimane.",https://static.fanpage.it/wp-content/uploads/2020/05/italia_riparte-ARTICOLO-1200x900.jpg,"https://www.salute.gov.it/portale/nuovocoronavirus/dettaglioNotizieNuovoCoronavirus.jsp?lingua=italiano&menu=notizie&p=dalministero&id=4613#:~:text=Il%20Presidente%20del%20Consiglio%2C%20Giuseppe,per%20le%20successive%20due%20settimane.",2020/05/04
