titolo,descrizione,path_immagine,link_articolo,data
"Diviene operativo il Fondo monetario internazionale (FMI), nato formalmente nel dicembre 1945.","Il Fondo Monetario Internazionale, anche abbreviato con FMI o IMF in inglese, fu istituito come parte degli accordi di scambio, nel 1945, durante la conferenza di Bretton Woods.",https://economiafinanzaonline.it/wp-content/uploads/2019/03/FB_FMI.jpg,https://www.google.com/url?sa=i&url=https%3A%2F%2Feconomiafinanzaonline.it%2Ffondo-monetario-internazionale-cose-e-come-funziona%2Fguide%2F&psig=AOvVaw3Np5sB4F1Y7ZOuFcL3KtG0&ust=1635444622943000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCKj655OY6_MCFQAAAAAdAAAAABAD,1947/03/01
"Si conclude il processo per lo scandalo Lockheed: Mario Tanassi è giudicato colpevole, mentre viene assolto Luigi Gui.","Lo scandalo Lockheed in Italia riguardò la fornitura degli aerei da trasporto C-130, ricevuti dall'Aeronautica Militare a partire dal 1972. Nel 1976 molti soggetti coinvolti nelle trattative con la Lockheed furono accusati di aver accettato tangenti per miliardi di lire per favorire l'acquisto di tali aerei da parte del Ministero della Difesa  e alcuni di questi furono condannati (inserisci la condanna il conivolgimento di Giovanni Leone)",https://upload.wikimedia.org/wikipedia/it/d/d4/Lockheed_C-130H_MM61991_Aeronautica_Militare.jpg,https://www.google.com/url?sa=i&url=https%3A%2F%2Fit.wikipedia.org%2Fwiki%2FScandalo_Lockheed_in_Italia&psig=AOvVaw0P3bgf-FobyBqjvjxps2Xa&ust=1636018522292000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCNieo5ny-_MCFQAAAAAdAAAAABAD,1979/03/01
Guerra italo-turca: attacco turco in prossimità di Derna,"Il 13 ottobre il viceammiraglio Aubry ordinò l'occupazione di Derna con le truppe già presenti a Tobruch. Nei giorni successivi altri sbarchi portarono la guarnigione italiana a 250 uomini e l'operazione ebbe termine il 21 ottobre, quando tutto il battaglione fu a terra.",https://upload.wikimedia.org/wikipedia/commons/f/f1/Italo-Turkish_war_collage.jpg,https://it.wikipedia.org/wiki/Guerra_italo-turca#I_primi_scontri_navali_e_l%27occupazione_delle_citt%C3%A0_costiere,1912/03/03
"Nasce il sindacato UIL, dall'unione dei sindacalisti del Partito Socialista Unificato e dei gruppi dì minoranza della (FIL)","La nascita della UIL (Unione Italiana del Lavoro) è avvenuta per tappe ed è frutto sia delle scissioni generate dalla CGIL (Confederazione Generale Italiana del Lavoro) unitaria, sia dei rimescolamenti politici in seno ai partiti politici italiani nel primo dopoguerra repubblicano, in particolare nell'area socialista.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Sede_centrale_UIL_Roma.jpg/253px-Sede_centrale_UIL_Roma.jpg,https://upload.wikimedia.org/wikipedia/it/thumb/4/43/LAvoro_Italiano_10_Marzo_1950.jpg/220px-LAvoro_Italiano_10_Marzo_1950.jpg,1950/03/05
Naufraga al largo dell'isola di Lampedusa di una nave carica di migranti.,"Nel canale di Sicilia, a 65 miglia da Lampedusa, naufraga un'imbarcazione di sette metri. Sono dodici i clandestini morti, mentre è incerto il numero dei dispersi.",https://st.ilfattoquotidiano.it/wp-content/uploads/2021/05/03/migranti-1-690x362.jpg,,2002/03/07
Giornata Internazionale della Donna.,"La Giornata internazionale dei diritti della donna ricorre l'8 marzo di ogni anno per ricordare sia le conquiste sociali, economiche e politiche, sia le discriminazioni e le violenze di cui le donne sono state e sono ancora oggetto in molte parti del mondo.",https://upload.wikimedia.org/wikipedia/commons/5/5f/WomDay13_%286966402973%29.jpg,https://it.wikipedia.org/wiki/Giornata_internazionale_della_donna,1977/03/08
"Viene abrogato l'articolo 553 del Codice Penale che vietava la produzione, il commercio e la pubblicità degli anticoncezionali.","Il 10 marzo 1971 la Corte Costituzionale abroga l'articolo 553 del Codice Penale e la contraccezione divenne legale: le donne ebbero così riconosciuta la possibilità di utilizzare la pillola anticoncezionale. Questo permise alle donne di autodeterminare le proprie scelte in fatto di maternità, in piena autonomia rispetto alla volontà dei compagni, dei fidanzati, dei mariti.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Utilizzo_della_Pillola_Anticoncezionale_in_Italia.jpg/220px-Utilizzo_della_Pillola_Anticoncezionale_in_Italia.jpg,https://www.brocardi.it/codice-penale/libro-secondo/titolo-x/art553.html,1971/03/10
Vengono pubblicate le prime riviste di fotoromanzi di Bolero e Sogno.,"Il primo ""fumetto fotografico"" pubblicato su «Bolero Film» uscì con il n° 1 del 25 maggio 1947. Zavattini, che fondò la rivista insieme con Luciano Pedrocchi, sceneggiò personalmente le prime storie.",https://img.ilgcdn.com/sites/default/files/styles/xl/public/foto/2020/08/03/1596467836-7516463.jpg?_=1596467836,https://www.ilriformista.it/cose-il-fotoromanzo-2501/,1947/03/12
"Viene ucciso da Cosa Nostra Salvo Lima, deputato della Democrazia Cristiana al Parlamento europeo, ex sindaco di Palermo e capo della locale corrente andreottiana.","E' giovedì. Quando alle 9.20, Salvo Lima esce dal cancello della sua villa in viale delle Palme con il loden verde sulle spalle e viene freddato da due killer. Il mandante era Salvatore Reina (Secondo la sentenza del processo per l'omicidio dell'onorevole, Lima si attivò per modificare in Cassazione la sentenza del Maxiprocesso di Palermo che condannava molti altri boss all'ergastolo; tuttavia però il 30 gennaio 1992 la Cassazione confermò gli ergastoli del Maxiprocesso e sancì la validità delle dichiarazioni del pentito Tommaso Buscetta.)",https://pbs.twimg.com/media/D1c57BBW0AAhAgS.jpg,https://it.wikipedia.org/wiki/Salvo_Lima,1992/03/12
"Con la legge n. 296, per scorporo dal Ministero dell'Interno, viene istituito il Ministero della Sanità.","Formalmente  il Dicastero della Salute nacque come Ministero della Sanità, con la legge 13 marzo 1958, n. 296 per scorporo dal Ministero dell'interno, sotto il governo Fanfani II, e con l'accorpamento delle funzioni dell'Alto commissario per l'igiene e la sanità.",https://th.bing.com/th/id/OIP.L1zyZfEoRQgwGvzHAK0r1wHaFj?w=225&h=180&c=7&r=0&o=5&pid=1.7,https://www.salute.gov.it/portale/ministro/p4_2.html,1958/03/13
"La FIAT annuncia di aver stretto un'alleanza con la General Motors, primo passo per l'avvicinamento dei due colossi dell'industria automobilistica.","Il presidente di Fiat Paolo Fresco, durante la conferenza stampa al Lingotto,  ha precisato lo spirito dell'accordo che ha cambiato per sempre il più grande gruppo industriale italiano.",https://www.repubblica.it/online/economia/fiat/cantarella/ap0017a845cxw200h275c00.jpg,https://it.wikipedia.org/wiki/FIAT,2000/03/14
l'Italia aderisce agli accordi monetari di Bretton Woods (USA).,"Nel marzo del 1971 vediamo l'asione dell'italia agli accordi monetori quando nel dicembre dello stesso anno segnò l’abbandono degli accordi di Bretton Woods da parte dei membri del G10 (il gruppo dei dieci paesi formato da Germania, Belgio, Canada, Stati Uniti, Francia, Italia, Giappone, Paesi Bassi, Regno Unito, Svezia). Con lo Smithsonian Agreement il dollaro venne svalutato e si diede il via alla fluttuazione dei cambi.",https://primabergamo.it/media/2014/07/brettonwoods01-420x252.jpg,https://www.borsaitaliana.it/notizie/speciali/mercati-internazionali/accordi-bretton-woods-e-la-sua-fine.htm,1971/03/15
Viene approvato con regio decreto legge 16 marzo 1942-XX n.262 il testo del nuovo codice civile Italiano.,"E' approvato il testo del Codice civile, il testo è preceduto dalle disposizioni sul valore giuridico della Carta del Lavoro, dal  testo della Carta del Lavoro, approvato dal Gran Consiglio del Fascismo il 21 aprile 1927-V.",https://img.yumpu.com/14981668/1/500x640/rd-16-marzo-1942-n262-approvazione-del-testo-del-codice-civile-.jpg,https://www.isfol.it/sistema-documentale/banche-dati/normative/archivio/regio-decreto-16-marzo-1942-n.-262,1942/03/16
In un agguato a Roma in Via Fani le Brigate Rosse rapiscono Aldo Moro e uccidono i cinque uomini della scorta.,"Alle ore 9:00 circa in via Mario Fani, quartiere Trionfale, l'auto con a bordo Aldo Moro e quella della scorta furono bloccate all'incrocio con via Stresa da un gruppo di terroristi che aprirono immediatamente il fuoco.",https://upload.wikimedia.org/wikipedia/it/b/ba/Agguato_di_via_Fani_-_Roma%2C_1978.jpg,https://www.google.com/url?sa=i&url=https%3A%2F%2Fit.wikipedia.org%2Fwiki%2FAgguato_di_via_Fani&psig=AOvVaw1Y2eFAC3Z5emAZeVZHuNXR&ust=1635438663264000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCOCj-fqB6_MCFQAAAAAdAAAAABAD,1978/03/16
"In occasione dei 150 anni dell'Unità d'Italia, solo per il 2011 viene proclamata festa nazionale.","L'anniversario dell'Unità d'Italia è una ricorrenza che cade annualmente il 17 marzo e che celebra la nascita dello Stato italiano, avvenuta in seguito alla proclamazione del Regno d'Italia del 17 marzo 1861 a Torino.",https://www.difesa.it/Content/150anniversario/PublishingImages/48118_locandina_resize.JPG,https://www.google.com/url?sa=i&url=http%3A%2F%2Fwww.difesa.it%2FContent%2F150anniversario%2FPagine%2Fdefault.aspx&psig=AOvVaw0gmWANnU5iziY7jgFFUXA6&ust=1635438935563000&source=images&cd=vfe&ved=0CAsQjRxqFwoTCIjKoYqD6_MCFQAAAAAdAAAAABAE,1961/03/17
