titolo,descrizione,path_immagine,link_articolo,data
Confederazione Generale Italiana del Lavoro (CGIL),"CGIL è un sindacato italiano. Fondato a Roma nel 1944, è la più antica organizzazione del lavoro esistente in Italia, è stata fondata nel 1906 e sciolta forzosamente dal fascismo.",https://upload.wikimedia.org/wikipedia/it/e/ed/Oreste-Lizzadri-Achille-Grandi-Giuseppe-Di-Vittorio2.jpg,https://it.wikipedia.org/wiki/Confederazione_Generale_Italiana_del_Lavoro,1906/10/01
L'occupazione delle terre non coltivate,"Italia: in Calabria, Puglia e Campania iniziò l'occupazione delle terre non coltivate; numerosi furono gli scontri tra polizia e braccianti che chiedevano e rivendicavano la riforma agraria che eliminasse il latifondo e permettesse ai contadini di lavorare"" la propria terra"".",https://www.micciacorta.it/wp-content/uploads/2019/10/melissa-marcia-dei-contadini-man.jpg,https://www.agrariansciences.it/2016/10/melissa-29-ottobre-1949.html,1949/10/01
Il Caso Moro,I carabinieri del generale Dalla Chiesa effettuano una irruzione nel covo delle Brigate Rosse di via Monte Nevoso. Il covo contiene molto materiale inerente al Caso Moro.,https://images.agi.it/pictures/agi/agi/2018/03/13/201951734-5f9b4f7c-843f-4e8a-9bab-f4f759a02544.jpg,https://it.wikipedia.org/wiki/Caso_Moro,1978/10/01
L'alluvione di Messina,"Fu una calamità naturale verificatasi in un'area ristretta della Sicilia nord-orientale causata da un violento nubifragio, iniziato nella serata del 1º ottobre 2009 e durato tutta la notte fino al mattino del giorno successivo.",https://www.tp24.it/immagini_articoli/01-03-2019/1551421424-0-sicilia-lalluvione-messina-2009-paghera-nessuno.jpg,https://it.wikipedia.org/wiki/Alluvione_di_Messina_del_2009,2009/10/01
Naufragio di Lampedusa,"Il 3 ottobre 2013, a poche miglia dal porto di Lampedusa, naufragò un'imbarcazione libica carica di migranti. A seguito delle prime operazioni di recupero, 194 cadaveri sono stati tratti estratti dalle acque e il numero delle vittime, a quel momento era stimato tra i 325 e 363 individui. Altri 108 corpi sono stati recuperati entro il 9 ottobre, quando è stato possibile accedere alla parte interna dello scafo dell'imbarcazione poggiata sul fondo a circa 47 metri sotto la superficie dell'acqua. Quando il numero dei corpi recuperati era di 302, 210 di essi appartenevano a uomini, 83 a donne e 9 a bambini.",https://images2-roma.corriereobjects.it/methode_image/2017/11/13/Roma/Foto%20Roma%20-%20Trattate//2016-05-25t135512z_160967065_s1betgbxkyaa_rtrmadp_3_europe-migrants-shipwreck-0039-kdde-u431801111628494a0c-1224x916corriere-web-sezioni-593x443_ori_crop_MASTER__0x0-593x443.jpg, https://it.wikipedia.org/wiki/Naufragio_di_Lampedusa_del_3_ottobre_2013,2013/10/03
"Legge 45/2016 ""Giornata della Memoria e dell’Accoglienza""","Dal 2016 il 3 ottobre è diventato la ""Giornata della Memoria e dell’Accoglienza"", in virtù della legge 45/2016. La ricorrenza è stata istituita per ricordare e commemorare tutte le vittime dell’immigrazione e promuovere iniziative di sensibilizzazione e solidarietà.",https://www.unhcr.org/it/wp-content/uploads/sites/97/2020/07/tre-ottobre.jpg,"https://www.unhcr.org/it/cosa-facciamo/la-nostra-voce/3-ottobre/#:~:text=Lampedusa%2C%203%20ottobre%202013%3A%20in,virtù%20della%20legge%2045%2F2016.",2016/10/03
Viene inaugurata l'autostrada A1 Milano-Napoli,"Chiamata anche Autostrada del Sole o più brevemente Autosole, è la più lunga autostrada italiana in esercizio, venne Inaugurata il 4 ottobre 1964. Asse meridiano principale della rete autostradale italiana, collega Milano a Napoli passando per Bologna, Firenze e Roma. Il 19 maggio 1956 si celebrò la posa della prima pietra.",https://newsgo.it/wp-content/uploads/2015/10/image.jpg,https://it.wikipedia.org/wiki/Autostrada_A1_(Italia),1964/10/04
La 1ª giornata della moderna Serie A in italia,"La Serie A 1929-1930 (denominazione completa: Divisione Nazionale Serie A 1929-1930) fu  la 30ª edizione della massima serie del campionato italiano di calcio (il 1º a girone unico), disputato tra il 6 ottobre 1929 e il 13 luglio 1930 e concluso con la vittoria dell'Ambrosiana, al suo terzo titolo. Capocannoniere del torneo fu Giuseppe Meazza (Ambrosiana) con 31 reti.",http://www.calcioromantico.com/wp-content/uploads/2019/10/1929-6ott29-Spivach-Laz-Bol-1080x675.jpg,http://www.calcioromantico.com/a-spasso-nel-tempo/6-ottobre-1929-la-prima-di-serie-a/,1929/10/06
Deportazione dei carabinieri romani,Circa 2.500 carabinieri romani furono fatti prigionieri dai tedeschi e deportati in Germania,https://italianiinguerra.files.wordpress.com/2018/10/deportazione-carabinieri.jpg?w=748&h=400&crop=1,https://it.wikipedia.org/wiki/Deportazione_dei_carabinieri_romani,1943/10/07
Istaurazione del Palazzo delle Poste (Napoli)," Il palazzo è stato eretto nell'area dell'ex rione San Giuseppe-Carità, demolito negli anni trenta del XX secolo. L'attico del palazzo ospita la sede centrale della emeroteca Tucci in onore di Vincenzo Tucci, giornalista de Il Mattino.",https://static.fanpage.it/wp-content/uploads/sites/4/2019/10/Napoli_1943_Posta_Centrale-1200x675.jpg,https://it.wikipedia.org/wiki/Palazzo_delle_Poste_(Napoli),1943/10/07
